Designator,Mid X,Mid Y,Rotation,Layer
H1,44.0,-135.0,0.0,bottom
H2,114.0,-135.0,0.0,bottom
H3,78.6638,-49.3776,0.0,bottom
H4,78.8162,-69.6214,0.0,bottom
J1,100.5701,-33.7312,90.0,top
J10,103.1494,-89.4334,315.0,top
J11,108.4018,-125.634464,60.0,top
J12,53.213,-90.3478,45.0,top
J13,49.4284,-125.6538,120.0,top
J14,101.7016,-101.9302,270.0,top
J15,57.167,-120.8024,90.0,top
J2,83.35325,-31.7975,90.0,top
J3,55.8685,-33.4264,270.0,top
J4,46.9646,-114.681,90.0,top
J5,114.8842,-114.7318,90.0,top
J6,114.00725,-97.447751,135.0,top
J7,44.762427,-100.296973,45.0,top
J8,108.458,-114.7318,90.0,top
J9,101.2614,-122.1163,90.0,top
R1,100.2538,-114.7826,90.0,top
R2,61.7359,-32.5882,90.0,top
R3,61.7359,-35.6108,90.0,top
